n: 6, k: 1000, t: 700
Entropy, Sampling, Jensen, Exact
0.027187767050560075, -3.965699243053677e-05, -3.5880993089070974e-05, -3.587485857955632e-05
0.07180552302377546, -0.0008275661958032287, -0.0008254704961704141, -0.0008254682058977463
0.18368324624447274, -0.0001006279167921938, -0.00010135541452752753, -0.00010135084617554639
0.2073134509548086, -0.0004880532777750775, -0.0004894606326501744, -0.0004893401368477148
0.11919526648735727, -0.00022857952279809924, -0.00022546266759218122, -0.000225459836088767
0.10548650253902368, -2.0731599235637644e-05, -2.1085573955495675e-05, -2.108553916940803e-05
0.36143563938036233, -0.001869121080613695, -0.001850606994782767, -0.001850178639551048
0.34345915050718895, -0.0001924720853276074, -0.00019128936513884904, -0.00019128023683558218
0.08831382353822265, -0.00022266712169221136, -0.00022356602600432214, -0.0002235652795574843
0.08788488414226726, -6.314294480034732e-05, -6.321506680769902e-05, -6.321091667994369e-05
0.10867146436267695, -4.987547755902299e-06, -3.4852812152632515e-06, -3.4841160103206266e-06
0.5650032140632263, -5.302733756243232e-05, -4.853361281355272e-05, -4.852844725749302e-05
0.11352734752092423, 2.7370141213914725e-16, -1.9488255542930124e-08, -1.9476595070046438e-08
0.13399479742816328, -6.200416073594537e-08, -1.2752901330029544e-06, -1.274468023065781e-06
0.5581678008343507, -0.00010087850072514294, -0.0001024983941270682, -0.00010248826180542628
0.27899271050084234, -8.06123452130123e-05, -8.260042849195385e-05, -8.259165195977826e-05
0.13261602822951807, -0.00015520187528454698, -0.00015498930881891132, -0.00015498927239564368
0.2617912767096023, -2.742392480104172e-05, -2.8050622249026245e-05, -2.805049173430888e-05
0.11455859441689749, -4.101414347312039e-05, -4.058145503354072e-05, -4.0581116110602724e-05
0.2120355304770295, -0.0007953359399689361, -0.0007879955509624751, -0.0007879664954529952
0.3511553092513889, -1.4990757393889744e-05, -1.549769473097204e-05, -1.5496072395922297e-05
0.03954835287721235, -3.0866753074449476e-06, -2.0506766075280125e-06, -2.050432632355218e-06
0.12401912750644145, -0.00018695434069741112, -0.00018654540392755775, -0.00018654452071764952
0.18515895756236933, -3.533471133231046e-05, -3.618934471022394e-05, -3.618895207107675e-05
0.0006808314140387883, -0.0005748850526288152, -0.0005748885184393962, -0.0005748885030438923
0.4833521518405217, -0.00028079792448621, -0.00028925710158391295, -0.0002891594236559878
0.12335465155529808, -0.00011733343954074371, -0.00012019485117908587, -0.0001201841773940375
0.28627691643451564, -4.1368902111571236e-05, -4.096187417568427e-05, -4.096167273575117e-05
0.5349721026801141, -2.8511094767207553e-06, -4.105323880593837e-06, -4.103868526445013e-06
0.1493168666192878, -0.00017975409211794528, -0.0001782943538687693, -0.00017828969110107455
0.25608489795880723, -3.387428768934646e-06, -3.839206156292946e-06, -3.83871496527735e-06
0.17988806551559053, -6.095230006370911e-05, -6.240155971304712e-05, -6.230568897579912e-05
0.43378880322001806, -0.00011854641356330803, -0.00011732392370556753, -0.00011732333184520876
0.5400958979967199, -5.128164556299425e-05, -5.2585489568789424e-05, -5.258448230009315e-05
0.2019140975314699, -2.2609868876101306e-05, -3.0329360009913635e-05, -3.032142146538899e-05
0.19796701488903987, -0.0001249848368970558, -0.0001248871687858191, -0.00012488643811723867
0.2907624892793213, -2.9974854099888787e-05, -2.1280254936913573e-05, -2.1271786602219548e-05
0.49412643239238047, -5.566147707576098e-05, -5.6060578080454825e-05, -5.606044034758254e-05
0.18905675964435278, -0.0001063489734533431, -0.00010661040304093478, -0.00010655305410142616
0.08599792021776782, -2.2646499107548316e-06, -1.3334374595797041e-06, -1.333392325777153e-06
0.7158296814940787, -8.904936219907865e-05, -8.885144322062506e-05, -8.883355788964531e-05
0.28370186403461434, -0.0001765068091044657, -0.00017921182296636528, -0.0001791910634125232
0.22793504057277802, -4.2548143668678205e-05, -4.266871184698607e-05, -4.266867400440632e-05
0.2487317376186126, -0.00022605586743156892, -0.0002257731148602372, -0.0002257729080655695
0.378973269027203, -3.891715221107006e-05, -3.835994215093254e-05, -3.8359802932337375e-05
0.25605782659501314, -4.107717004078114e-05, -4.163020061723954e-05, -4.1629914386245124e-05
0.5256562696007644, -2.425081236265754e-05, -2.4224243449389974e-05, -2.4222147007159443e-05
0.5057799266464647, -0.0011687202276298074, -0.0011833320571016154, -0.0011831023184289441
0.5379438290399691, -0.00017014777572512465, -0.0001722302996847064, -0.00017216297983309233
0.9522756240352698, -0.00011745723613964202, -0.00011078342585721563, -0.00011076359804577868
0.2947811568136158, -0.0014789349645143372, -0.001473672881941671, -0.0014736451193920557
0.4140066945237592, -0.00014480016347078717, -0.0001421106691773733, -0.00014210850745509157
0.5741097978311076, -2.2699054119413002e-05, -2.382483115220123e-05, -2.382336231997168e-05
0.476507842225856, -3.747931836526273e-05, -3.939161213674018e-05, -3.93725917235719e-05
0.5365812737819219, -0.00017983551303751437, -0.00016463584026763512, -0.0001645663073664837
0.4899213975242373, -0.0001827085324766372, -0.00018329984462111173, -0.00018329463246468625
0.15964531399110388, -7.889356711529333e-05, -7.814779696945789e-05, -7.814746190005768e-05
